2025-02-20 23:53:41 configure libconfig-inifiles-perl:all 3.000003-1 <none>
2025-02-20 23:53:41 status unpacked libconfig-inifiles-perl:all 3.000003-1
2025-02-20 23:53:41 status half-configured libconfig-inifiles-perl:all 3.000003-1
2025-02-20 23:53:41 status installed libconfig-inifiles-perl:all 3.000003-1
2025-02-20 23:53:41 configure galera-4:amd64 26.4.20-0+deb11u1 <none>
2025-02-20 23:53:41 status unpacked galera-4:amd64 26.4.20-0+deb11u1
2025-02-20 23:53:41 status half-configured galera-4:amd64 26.4.20-0+deb11u1
2025-02-20 23:53:41 status installed galera-4:amd64 26.4.20-0+deb11u1
2025-02-20 23:53:41 configure gawk:amd64 1:5.1.0-1 <none>
2025-02-20 23:53:41 status unpacked gawk:amd64 1:5.1.0-1
2025-02-20 23:53:41 status half-configured gawk:amd64 1:5.1.0-1
2025-02-20 23:53:41 status installed gawk:amd64 1:5.1.0-1
2025-02-20 23:53:41 configure psmisc:amd64 23.4-2 <none>
2025-02-20 23:53:41 status unpacked psmisc:amd64 23.4-2
2025-02-20 23:53:41 status half-configured psmisc:amd64 23.4-2
2025-02-20 23:53:41 status installed psmisc:amd64 23.4-2
2025-02-20 23:53:41 configure libsnappy1v5:amd64 1.1.8-1 <none>
2025-02-20 23:53:41 status unpacked libsnappy1v5:amd64 1.1.8-1
2025-02-20 23:53:41 status half-configured libsnappy1v5:amd64 1.1.8-1
2025-02-20 23:53:41 status installed libsnappy1v5:amd64 1.1.8-1
2025-02-20 23:53:41 configure socat:amd64 1.7.4.1-3 <none>
2025-02-20 23:53:41 status unpacked socat:amd64 1.7.4.1-3
2025-02-20 23:53:41 status half-configured socat:amd64 1.7.4.1-3
2025-02-20 23:53:41 status installed socat:amd64 1.7.4.1-3
2025-02-20 23:53:41 configure libmariadb3:amd64 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:41 status unpacked libmariadb3:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:41 status half-configured libmariadb3:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:41 status installed libmariadb3:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:41 configure lsof:amd64 4.93.2+dfsg-1.1 <none>
2025-02-20 23:53:41 status unpacked lsof:amd64 4.93.2+dfsg-1.1
2025-02-20 23:53:41 status half-configured lsof:amd64 4.93.2+dfsg-1.1
2025-02-20 23:53:41 status installed lsof:amd64 4.93.2+dfsg-1.1
2025-02-20 23:53:41 configure pv:amd64 1.6.6-1+b1 <none>
2025-02-20 23:53:41 status unpacked pv:amd64 1.6.6-1+b1
2025-02-20 23:53:41 status half-configured pv:amd64 1.6.6-1+b1
2025-02-20 23:53:41 status installed pv:amd64 1.6.6-1+b1
2025-02-20 23:53:41 configure python3-dateutil:all 2.8.1-6 <none>
2025-02-20 23:53:41 status unpacked python3-dateutil:all 2.8.1-6
2025-02-20 23:53:41 status half-configured python3-dateutil:all 2.8.1-6
2025-02-20 23:53:42 status installed python3-dateutil:all 2.8.1-6
2025-02-20 23:53:42 configure python3-magic:all 2:0.4.20-3 <none>
2025-02-20 23:53:42 status unpacked python3-magic:all 2:0.4.20-3
2025-02-20 23:53:42 status half-configured python3-magic:all 2:0.4.20-3
2025-02-20 23:53:42 status installed python3-magic:all 2:0.4.20-3
2025-02-20 23:53:42 configure libdbi-perl:amd64 1.643-3+b1 <none>
2025-02-20 23:53:42 status unpacked libdbi-perl:amd64 1.643-3+b1
2025-02-20 23:53:42 status half-configured libdbi-perl:amd64 1.643-3+b1
2025-02-20 23:53:42 status installed libdbi-perl:amd64 1.643-3+b1
2025-02-20 23:53:42 configure mariadb-server-core-10.5:amd64 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:42 status unpacked mariadb-server-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status half-configured mariadb-server-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status installed mariadb-server-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 configure s3cmd:all 2.1.0-2 <none>
2025-02-20 23:53:42 status unpacked s3cmd:all 2.1.0-2
2025-02-20 23:53:42 status half-configured s3cmd:all 2.1.0-2
2025-02-20 23:53:42 status installed s3cmd:all 2.1.0-2
2025-02-20 23:53:42 configure mariadb-client-core-10.5:amd64 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:42 status unpacked mariadb-client-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status half-configured mariadb-client-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status installed mariadb-client-core-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 configure mariadb-client-10.5:amd64 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:42 status unpacked mariadb-client-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status half-configured mariadb-client-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:42 status installed mariadb-client-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:43 configure mariadb-server-10.5:amd64 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:43 status unpacked mariadb-server-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:43 status half-configured mariadb-server-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:47 status installed mariadb-server-10.5:amd64 1:10.5.26-0+deb11u2
2025-02-20 23:53:47 configure mariadb-server:all 1:10.5.26-0+deb11u2 <none>
2025-02-20 23:53:47 status unpacked mariadb-server:all 1:10.5.26-0+deb11u2
2025-02-20 23:53:47 status half-configured mariadb-server:all 1:10.5.26-0+deb11u2
2025-02-20 23:53:47 status installed mariadb-server:all 1:10.5.26-0+deb11u2
2025-02-20 23:53:47 trigproc man-db:amd64 2.9.4-2 <none>
2025-02-20 23:53:47 status half-configured man-db:amd64 2.9.4-2
2025-02-20 23:53:50 status installed man-db:amd64 2.9.4-2
2025-02-20 23:53:50 trigproc libc-bin:amd64 2.31-13+deb11u11 <none>
2025-02-20 23:53:50 status half-configured libc-bin:amd64 2.31-13+deb11u11
2025-02-20 23:53:51 status installed libc-bin:amd64 2.31-13+deb11u11
2025-02-21 10:11:30 startup archives install
2025-02-21 10:11:33 install chef:amd64 <none> 18.2.7-1
2025-02-21 10:11:33 status half-installed chef:amd64 18.2.7-1
2025-02-21 10:11:40 status unpacked chef:amd64 18.2.7-1
2025-02-21 10:11:40 configure chef:amd64 18.2.7-1 18.2.7-1
2025-02-21 10:11:40 status half-configured chef:amd64 18.2.7-1
2025-02-21 10:11:40 status installed chef:amd64 18.2.7-1
2025-02-21 10:12:21 startup archives unpack
2025-02-21 10:12:21 install unzip:amd64 <none> 6.0-26+deb11u1
